XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount
4.6,562.32675384,562.32675384,92.3,783.0,0.0,1.0,8.0,10.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,289.0366522,289.0366522,110.0,421.0,0.0,3.0,5.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.9,485.04874,485.04874,91.0,1010.0,0.0,1.0,5.0,2.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2.5,255.08079011,255.08079011,57.8,339.0,0.0,2.0,3.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.1,301.07751625,301.07751625,79.8,399.0,0.0,2.0,6.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.6,367.94305,367.94305,84.2,416.0,0.0,1.0,5.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.3,411.13069464,411.13069464,95.8,596.0,0.0,4.0,6.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.8,481.19363168,481.19363168,112.0,781.0,0.0,3.0,5.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.5,273.02597783,273.02597783,78.4,354.0,0.0,1.0,5.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.8,466.21172409,466.21172409,112.0,801.0,0.0,3.0,4.0,6.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.5,348.12338320,348.12338320,112.0,625.0,0.0,3.0,8.0,3.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.3,284.12732577,284.12732577,94.1,321.0,0.0,4.0,5.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.5,289.0981898,289.0981898,61.0,307.0,0.0,1.0,4.0,5.0,20.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
2.9,329.1043378,329.1043378,75.7,395.0,0.0,2.0,5.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.6,438.18042397,438.18042397,94.2,822.0,0.0,2.0,6.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.5,579.28455468,579.28455468,104.0,1080.0,0.0,2.0,6.0,7.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.5,268.13241115,268.13241115,76.8,314.0,0.0,2.0,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,406.16410520,406.16410520,79.7,519.0,0.0,1.0,7.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1,282.14806121,282.14806121,62.8,327.0,0.0,2.0,4.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.7,429.20886477,429.20886477,90.0,592.0,0.0,2.0,8.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.1,341.1407234,341.1407234,70.8,418.0,0.0,2.0,4.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.3,303.0233108,303.0233108,77.1,304.0,0.0,0.0,5.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.1,420.22737416,420.22737416,87.4,570.0,0.0,1.0,7.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,426.1571017,426.1571017,87.4,542.0,0.0,1.0,7.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.4,421.22262313,421.22262313,100.0,566.0,0.0,1.0,8.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.1,420.22737416,420.22737416,87.4,570.0,0.0,1.0,7.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8,320.11609238,320.11609238,58.6,571.0,0.0,1.0,4.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,355.06267708,355.06267708,129.0,593.0,0.0,2.0,6.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,314.0458199,314.0458199,78.4,506.0,0.0,3.0,4.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.1,343.0359835,343.0359835,104.0,586.0,0.0,2.0,5.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.2,340.08816355,340.08816355,92.7,526.0,0.0,2.0,5.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9,278.105527694,278.105527694,61.7,463.0,0.0,2.0,2.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.2,392.15968852,392.15968852,95.7,501.0,0.0,1.0,8.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
